SceneID,Vector,Camera Location,Camera Location X,Camera Location Y,Camera Location Z,Look,Sphere Location,Sphere-X,Sphere-Y,Sphere-Z,Cube Location,Cube-X,Cube-Y,Cube-Z
62,up,"(21,0,13)",21,0,13,"(21,15.5,13)","(20.5,15,18)",20.5,15,18,"(20.5,15,7)",20.5,15,7
63,up,"(21,-10,13)",21,-10,13,"(21,15.5,13)","(20.5,15,23)",20.5,15,23,"(20.5,15,2)",20.5,15,2
64,up,"(21,-15,13)",21,-15,13,"(21,15.5,13)","(20.5,15,13)",20.5,15,13,"(20.5,15,12)",20.5,15,12
65,up,"(21,-15,13)",21,-15,13,"(21,15.5,13)","(20.5,15,13.5)",20.5,15,13.5,"(20.5,15,11.5)",20.5,15,11.5
66,up,"(21,-15,13)",21,-15,13,"(21,15.5,13)","(20.5,15,18)",20.5,15,18,"(20.5,15,7)",20.5,15,7
67,up,"(21,-15,13)",21,-15,13,"(21,15.5,13)","(20.5,15,13)",20.5,15,13,"(20.5,15,12)",20.5,15,12
68,up,"(21,-15,13)",21,-15,13,"(21,15.5,13)","(20.5,15,13.5)",20.5,15,13.5,"(20.5,15,11.5)",20.5,15,11.5
69,up,"(21,-15,13)",21,-15,13,"(21,15.5,13)","(20.5,15,18)",20.5,15,18,"(20.5,15,7)",20.5,15,7
70,up,"(21,-15,13)",21,-15,13,"(21,15.5,13)","(20.5,15,23)",20.5,15,23,"(20.5,15,2)",20.5,15,2
71,up-front,"(21,-10,13)",21,-10,13,"(21,15.5,13)","(20.5,14.57322,12.92678)",20.5,14.5732,12.9268,"(20.5,15.42678,12.07322)",20.5,15.4268,12.0732
72,up-front,"(21,-10,13)",21,-10,13,"(21,15.5,13)","(20.5,14.21967,13.28033)",20.5,14.2197,13.2803,"(20.5,15.78033,11.71967)",20.5,15.7803,11.7197
73,up-front,"(21,-10,13)",21,-10,13,"(21,15.5,13)","(20.5,11.03769,16.46231)",20.5,11.0377,16.4623,"(20.5,18.96231,8.53769)",20.5,18.9623,8.5377
74,up-front,"(21,-10,13)",21,-10,13,"(21,15.5,13)","(20.5,14.57322,12.92678)",20.5,14.5732,12.9268,"(20.5,15.42678,12.07322)",20.5,15.4268,12.0732
75,up-front,"(21,-10,13)",21,-10,13,"(21,15.5,13)","(20.5,14.21967,13.28033)",20.5,14.2197,13.2803,"(20.5,15.78033,11.71967)",20.5,15.7803,11.7197
76,up-front,"(21,-10,13)",21,-10,13,"(21,15.5,13)","(20.5,11.03769,16.46231)",20.5,11.0377,16.4623,"(20.5,18.96231,8.53769)",20.5,18.9623,8.5377
77,up-front,"(21,-10,13)",21,-10,13,"(21,15.5,13)","(20.5,7.50216,19.99784)",20.5,7.5022,19.9978,"(20.5,22.49784,5.00216)",20.5,22.4978,5.0022
78,up-front,"(21,-25,13)",21,-25,13,"(21,15.5,13)","(20.5,14.57322,12.92678)",20.5,14.5732,12.9268,"(20.5,15.42678,12.07322)",20.5,15.4268,12.0732
79,up-front,"(21,-25,13)",21,-25,13,"(21,15.5,13)","(20.5,14.21967,13.28033)",20.5,14.2197,13.2803,"(20.5,15.78033,11.71967)",20.5,15.7803,11.7197
80,up-front,"(21,-25,13)",21,-25,13,"(21,15.5,13)","(20.5,11.03769,16.46231)",20.5,11.0377,16.4623,"(20.5,18.96231,8.53769)",20.5,18.9623,8.5377
81,up-front,"(21,-25,13)",21,-25,13,"(21,15.5,13)","(20.5,14.57322,12.92678)",20.5,14.5732,12.9268,"(20.5,15.42678,12.07322)",20.5,15.4268,12.0732
82,up-front,"(21,-25,13)",21,-25,13,"(21,15.5,13)","(20.5,14.21967,13.28033)",20.5,14.2197,13.2803,"(20.5,15.78033,11.71967)",20.5,15.7803,11.7197
83,up-front,"(21,-25,13)",21,-25,13,"(21,15.5,13)","(20.5,11.03769,16.46231)",20.5,11.0377,16.4623,"(20.5,18.96231,8.53769)",20.5,18.9623,8.5377
84,up-front,"(21,-25,13)",21,-25,13,"(21,15.5,13)","(20.5,7.50216,19.99784)",20.5,7.5022,19.9978,"(20.5,22.49784,5.00216)",20.5,22.4978,5.0022
